file001_18S_clip	file002_18S_clip	file003_18S_clip	file004_18S_clip	file005_18S_clip	file006_18S_clip	file007_18S_clip	file008_18S_clip	file009_18S_clip	file010_18S_clip	file011_18S_clip	file012_18S_clip	file013_18S_clip	file014_18S_clip	file015_18S_clip	file016_18S_clip	file017_18S_clip	file018_18S_clip	file019_18S_clip	file020_18S_clip	file021_18S_clip	file022_18S_clip	file023_18S_clip	file024_18S_clip	file025_18S_clip	file026_18S_clip	file027_18S_clip	file028_18S_clip	file029_18S_clip	file030_18S_clip	file031_18S_clip	file032_18S_clip
asv122	56	132	56	0	143	58	91	0	117	138	132	115	165	237	69	172	193	309	61	0	209	72	0	3	0	98	0	163	0	0	62	0
asv123	194	11	48	0	70	7	472	0	87	127	159	86	20	657	7	0	175	281	51	0	62	42	0	0	0	17	0	222	0	0	26	0
asv124	314	33	1	0	91	8	776	0	7	11	20	13	187	55	19	23	16	834	20	2	212	9	0	0	0	94	0	30	0	0	34	0
asv125	199	32	31	0	180	6	451	0	36	48	69	91	189	101	6	28	25	1037	26	1	85	35	0	0	0	16	0	66	0	0	39	0
asv126	101	21	0	0	24	10	377	0	0	4	0	0	1	0	443	76	0	0	0	0	1348	1	0	33	0	350	0	0	0	0	0	0
asv127	135	21	11	0	81	13	481	0	90	57	22	45	62	381	45	25	49	352	29	0	41	40	0	1	0	46	603	114	0	0	16	0
asv128	402	25	37	0	56	10	460	0	12	71	37	24	155	159	18	107	49	908	6	0	40	32	0	0	0	28	0	62	0	0	20	0
asv129	108	15	25	1	24	4	529	0	20	42	55	56	250	109	22	61	39	935	51	0	89	25	0	2	0	63	0	151	0	0	9	0
asv130	0	1	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	1	1	0	0	0	2676	1	0	0	0	0	1	0
asv131	253	32	25	0	102	16	538	0	40	28	63	116	138	225	22	25	44	717	50	0	26	38	0	11	0	34	0	91	0	0	16	0
asv132	0	595	0	0	0	148	156	0	0	0	43	0	0	0	96	0	2	0	0	0	397	0	0	211	0	995	0	0	0	0	3	0
asv133	216	10	30	0	83	18	496	0	24	40	71	20	120	140	24	74	86	886	41	0	42	21	0	49	0	42	0	75	0	0	16	0
asv134	0	256	2	0	0	473	270	0	4	0	0	0	1	0	27	0	2	0	0	0	112	0	0	1174	0	160	0	10	0	0	72	0
asv135	1	7	0	0	8	3	573	0	7	0	1	1	16	26	40	0	15	0	0	0	61	0	0	1739	0	26	0	2	0	0	24	0
asv136	110	6	94	0	67	7	88	0	71	91	234	123	71	583	5	85	181	189	103	0	15	69	0	1	0	6	0	306	0	0	35	0
asv137	170	14	13	0	61	9	394	0	44	38	61	95	141	300	25	38	72	714	46	0	35	37	0	0	0	21	0	200	1	0	6	0
asv138	0	234	0	0	21	19	93	0	5	0	1	0	0	13	8	0	4	0	0	0	15	0	0	1122	0	927	0	4	0	0	22	0
asv139	226	4	37	0	41	5	502	0	102	82	179	95	57	442	9	32	119	158	23	0	23	59	0	0	0	32	0	248	0	0	5	0
asv140	11	39	21	2	67	2	780	0	23	49	8	20	60	104	37	1	171	59	9	0	688	13	0	23	0	227	1	17	0	0	28	0
asv141	57	116	47	0	78	42	114	0	106	95	148	103	198	221	67	164	125	147	98	0	146	108	0	0	0	68	0	144	0	0	52	0
asv142	203	27	2	0	53	11	841	0	27	24	21	20	97	182	15	19	75	579	17	0	110	9	0	5	0	49	0	29	0	0	13	0
asv143	0	68	0	0	5	87	371	0	2	3	0	0	2	2	8	0	2	1	0	0	406	0	0	337	0	1083	0	0	0	0	47	0
asv144	1	174	0	1	39	308	342	0	0	0	0	0	52	3	45	17	2	17	0	0	296	0	0	874	0	176	0	0	0	0	34	0
asv145	172	4	22	0	65	10	323	0	55	87	63	78	55	478	2	0	184	313	58	0	73	27	0	1	0	31	0	242	0	0	13	0
asv146	4	136	5	0	188	86	711	0	105	26	13	8	2	174	27	7	78	0	1	0	132	3	0	453	0	111	0	7	0	0	55	0
